2020-06-02 00:11:25.2718|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 00:22:41.1484|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 00:34:07.9796|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 00:42:02.0782|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 00:43:09.3330|1000|OzoMvc.Controllers.PosaoController|INFO|  Posao 7 dodan. |url: https://localhost/Posao/Create?|action: Create
2020-06-02 00:45:23.5131|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 00:45:34.9146|0|OzoMvc.Controllers.PosaoController|INFO|  Posao 6 uspješno obrisan |url: https://localhost/Posao/Delete?|action: Delete
2020-06-02 00:46:27.1124|1000|OzoMvc.Controllers.PosaoController|INFO|  Posao 8 dodan. |url: https://localhost/Posao/Create?|action: Create
2020-06-02 00:50:07.1219|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 00:55:02.3756|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 01:06:00.2367|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 01:17:14.3483|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 01:27:34.5583|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 01:29:07.4298|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 01:30:07.9907|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 01:31:47.8475|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 01:32:21.5212|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 01:32:40.1279|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 01:33:04.1899|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 01:34:50.1876|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 01:36:53.4613|1000|OzoMvc.Controllers.PosaoController|INFO|  Posao 9 dodan. |url: https://localhost/Posao/Create?|action: Create
2020-06-02 01:50:51.4358|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 01:53:40.6194|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 01:54:32.7996|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 01:56:40.9623|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 01:57:07.7944|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 02:00:46.7037|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-02 02:03:21.4487|1000|OzoMvc.Controllers.PosaoController|INFO|  Posao 10 dodan. |url: https://localhost/Posao/Create?|action: Create
2020-06-02 02:04:42.0348|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
