2020-06-01 22:37:03.5632|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-01 23:16:57.3940|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-01 23:19:44.1961|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-01 23:30:55.1865|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-01 23:31:53.9948|1000|OzoMvc.Controllers.PosaoController|INFO|  Posao 5 dodan. |url: https://localhost/Posao/Create?|action: Create
2020-06-01 23:37:20.2479|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-01 23:38:05.6096|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-01 23:39:56.3197|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-01 23:41:05.4411|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-01 23:46:29.0954|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-01 23:47:04.2250|1000|OzoMvc.Controllers.PosaoController|INFO|  Posao 6 dodan. |url: https://localhost/Posao/Create?|action: Create
2020-06-01 23:48:56.3156|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-01 23:49:21.1120|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-01 23:51:05.7039|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
