2020-06-10 00:20:12.1019|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 00:22:13.1222|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 00:24:52.2330|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 00:31:20.8127|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 00:34:32.5263|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 01:42:47.9169|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 01:43:49.1792|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 01:49:23.9212|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 01:49:57.6029|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 13:11:28.8359|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 13:12:20.7630|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 13:12:41.9978|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 13:13:15.8676|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 13:28:13.9811|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 13:28:54.6390|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 13:56:36.9935|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:02:00.3886|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:02:15.7561|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:04:57.1490|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:06:20.3257|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:22:02.2048|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:25:33.1361|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:26:03.4649|1000|OzoMvc.Controllers.PosaoController|INFO|  Posao 15 dodan. |url: https://localhost/Posao/Create?|action: Create
2020-06-10 14:28:53.5895|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:29:34.6619|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:29:44.6390|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:30:05.1772|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:30:42.4990|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:36:34.3054|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:37:55.4139|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:40:13.0050|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:42:31.7402|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 14:47:50.6140|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 15:14:45.3906|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 15:21:06.6906|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 15:22:24.1254|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 15:24:30.5553|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 15:26:44.5676|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 15:27:40.6782|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 15:55:01.6129|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-10 15:55:26.5666|1000|OzoMvc.Controllers.PosaoController|INFO|  Posao 17 dodan. |url: https://localhost/Posao/Create?|action: Create
